frame,seconds,target_polarity,predicted_polarity,polarity_correct,effective_gate,nearest_anchor_seconds,teacher_error,teacher_iou,rollout_error,rollout_iou,memory_error,memory_iou,oracle_polarity_rollout_error
0,0.0,0,0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,0.03333333333333333,0,0,1,0.0,0.03333333134651184,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,0.06666666666666667,0,0,1,0.0,0.06666666269302368,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,0.1,0,0,1,0.0,0.09999999403953552,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,0.13333333333333333,0,0,1,0.0,0.13333332538604736,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5,0.16666666666666666,0,0,1,0.0,0.1666666567325592,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,0.2,0,0,1,0.0,0.19999998807907104,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7,0.23333333333333334,0,0,1,0.0,0.23333333432674408,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,0.26666666666666666,0,0,1,0.0,0.2666666507720947,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9,0.3,0,0,1,0.0,0.29999998211860657,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,0.3333333333333333,0,0,1,0.0,0.3333333134651184,0.0,1.0,0.0,1.0,0.0,1.0,0.0
11,0.36666666666666664,0,0,1,0.0,0.36666667461395264,0.0,1.0,0.0,1.0,0.0,1.0,0.0
12,0.4,0,0,1,0.0,0.3999999761581421,0.0,1.0,0.0,1.0,0.0,1.0,0.0
13,0.43333333333333335,0,0,1,0.0,0.4333333373069763,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14,0.4666666666666667,0,0,1,0.0,0.46666666865348816,0.0,1.0,0.0,1.0,0.0,1.0,0.0
15,0.5,0,0,1,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,0.5333333333333333,0,0,1,0.32621631026268005,0.5333333015441895,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,0.5666666666666667,0,0,1,0.3062589764595032,0.5666666626930237,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,0.6,0,0,1,0.27565649151802063,0.5999999642372131,0.0,1.0,0.0030364990234375,0.49848175048828125,0.0,1.0,0.0030364990234375
19,0.6333333333333333,0,0,1,0.25507473945617676,0.6333332657814026,0.0,1.0,0.0199127197265625,0.49004364013671875,0.0,1.0,0.0199127197265625
20,0.6666666666666666,0,0,1,0.23592685163021088,0.6666666269302368,0.0,1.0,0.026295979817708332,0.4868520100911458,0.0,1.0,0.026295979817708332
21,0.7,0,0,1,0.22013020515441895,0.699999988079071,0.0,1.0,0.027501424153645832,0.48624928792317706,0.0,1.0,0.027501424153645832
22,0.7333333333333333,0,0,1,0.21864867210388184,0.7333333492279053,0.0,1.0,0.026926676432291668,0.4865366617838542,0.0,1.0,0.026926676432291668
23,0.7666666666666667,0,0,1,0.2212195247411728,0.7666666507720947,0.0,1.0,0.02569580078125,0.487152099609375,0.0,1.0,0.02569580078125
24,0.8,0,0,1,0.22010409832000732,0.7999999523162842,0.0,1.0,0.025095621744791668,0.4874521891276042,0.0,1.0,0.025095621744791668
25,0.8333333333333334,0,0,1,0.21734225749969482,0.8333332538604736,0.0,1.0,0.026885986328125,0.4865570068359375,0.00022379557291666666,0.4998881022135417,0.026885986328125
